City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
116,Ostrovnoy,68.0531,39.5131,35.44,78,98,15.1,RU,overcast clouds
117,Punta Arenas,-53.15,-70.9167,35.71,69,40,19.91,CL,scattered clouds
118,Suileng,47.25,127.0833,57.33,58,1,4.61,CN,clear sky
119,Belaya Gora,68.5333,146.4167,53.71,36,2,18.57,RU,clear sky
120,Polis,35.0367,32.4264,68.29,87,1,8.48,CY,clear sky
121,Eyl,7.9803,49.8164,79.39,77,47,14.65,SO,scattered clouds
122,Talnakh,69.4865,88.3972,32.58,97,100,9.71,RU,overcast clouds
123,Qaqortoq,60.7167,-46.0333,52.3,43,99,17.52,GL,overcast clouds
124,Bredasdorp,-34.5322,20.0403,58.32,77,7,11.18,ZA,clear sky
125,Mar Del Plata,-38.0023,-57.5575,55.0,37,40,7.0,AR,scattered clouds
126,Kieta,-6.2167,155.6333,78.58,90,100,2.37,PG,moderate rain
127,Mocuba,-16.8392,36.9856,61.02,93,0,3.44,MZ,clear sky
128,Nolinsk,57.5596,49.9363,56.03,94,78,4.63,RU,broken clouds
129,Sarkand,45.41,79.9186,60.94,60,95,3.6,KZ,overcast clouds
130,Itarema,-2.9248,-39.9167,79.39,79,3,11.34,BR,clear sky
131,Isangel,-19.55,169.2667,74.98,68,57,7.78,VU,broken clouds
132,Amga,60.8953,131.9608,60.4,52,44,5.39,RU,scattered clouds
133,Sao Filipe,14.8961,-24.4956,73.04,76,11,11.18,CV,few clouds
134,Pisco,-13.7,-76.2167,66.25,82,90,14.97,PE,overcast clouds
135,Pevek,69.7008,170.3133,37.76,75,84,0.34,RU,broken clouds
136,Trincomalee,8.5711,81.2335,81.46,79,84,20.47,LK,broken clouds
137,Griffith,41.5284,-87.4237,48.88,90,90,5.01,US,moderate rain
138,Muhos,64.808,25.9931,44.38,75,11,5.06,FI,few clouds
139,Geraldton,-28.7667,114.6,66.61,88,90,9.37,AU,overcast clouds
140,Igarka,67.4667,86.5833,30.09,97,100,16.02,RU,snow
141,Soe,-9.8607,124.284,65.68,91,99,4.23,ID,overcast clouds
142,Tilichiki,60.4667,166.1,39.09,80,100,4.34,RU,overcast clouds
143,Roald,62.5833,6.1333,51.91,87,5,17.27,NO,clear sky
144,Maniitsoq,65.4167,-52.9,38.84,82,48,16.73,GL,scattered clouds
145,Nishihara,26.1842,127.7558,82.06,87,75,7.61,JP,broken clouds
146,Vila Franca Do Campo,37.7167,-25.4333,59.41,73,100,5.26,PT,overcast clouds
147,Kutum,14.2,24.6667,78.67,11,31,9.46,SD,scattered clouds
148,Madiun,-7.6298,111.5239,74.43,91,81,2.84,ID,broken clouds
149,Severo-Kurilsk,50.6789,156.125,41.22,78,87,8.1,RU,overcast clouds
150,Baillif,16.0202,-61.7463,80.1,69,11,10.09,GP,few clouds
151,Turmalina,-17.2856,-42.73,70.66,63,81,3.13,BR,broken clouds
152,Shingu,33.7333,135.9833,70.92,74,100,3.89,JP,overcast clouds
153,Tarauaca,-8.1614,-70.7656,78.24,75,67,1.81,BR,broken clouds
154,Mehamn,71.0357,27.8492,35.33,67,99,21.45,NO,overcast clouds
155,Tautira,-17.7333,-149.15,86.02,75,30,7.74,PF,scattered clouds
156,Marsaxlokk,35.8419,14.5431,69.08,88,0,10.36,MT,clear sky
157,Lonar,19.9833,76.5333,82.58,56,100,9.69,IN,overcast clouds
158,Mackay,-21.15,149.2,67.68,52,20,10.36,AU,few clouds
159,Tiksi,71.6872,128.8694,32.86,96,100,13.42,RU,overcast clouds
