City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Mattru,SL,76.59,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
325,Bilma,NE,88.07,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
328,Kattivakkam,IN,85.06,broken clouds,13.2167,80.3167,Raj's villa
339,Mizdah,LY,81.86,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
340,Morgan City,US,84.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
342,Torbat-E Jam,IR,75.85,clear sky,35.244,60.6225,White building
343,Kasongo,CD,75.07,overcast clouds,-4.45,26.6667,Guest Hôtel
345,Victoria,HK,88.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
346,Gazli,UZ,84.13,clear sky,40.1333,63.45,
352,Awbari,LY,89.02,scattered clouds,26.5921,12.7805,فندق أوباري
356,Aracruz,BR,76.21,scattered clouds,-19.8203,-40.2733,OYO Hotel Iramar
359,Barranco,PA,80.35,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
363,Lorengau,PG,82.22,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
367,Alyangula,AU,76.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
368,Portel,BR,75.04,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
374,Puntarenas,CR,80.53,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
379,Bubaque,GW,78.89,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
380,Hobyo,SO,78.75,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
386,Sassandra,CI,80.6,overcast clouds,4.95,-6.0833,la terrasse
387,Jaguaribe,BR,82.9,overcast clouds,-5.8906,-38.6219,Hotel Pinheiro
388,Kirakira,SB,78.35,moderate rain,-10.4544,161.9205,SanBiz Lodge
390,Lazaro Cardenas,MX,86.49,few clouds,17.9583,-102.2,Hotel Quinta Antigua
392,Jining,CN,77.0,broken clouds,35.405,116.5814,Yunhe Star Hotel
406,Feijo,BR,79.2,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
409,Kudahuvadhoo,MV,83.34,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
413,Pacific Grove,US,81.16,few clouds,36.6177,-121.9166,Lovers Point Inn
419,Bindi,SL,75.15,light rain,9.9167,-11.45,
422,Tiarei,PF,86.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
426,Mahibadhoo,MV,83.17,overcast clouds,3.7833,72.9667,Omadhoo Inn
428,Mogadishu,SO,78.31,broken clouds,2.0371,45.3438,Hotel Juba
436,Semaria,IN,80.74,broken clouds,24.3073,79.9718,mishra Tea Pan
440,Sungairaya,ID,77.56,overcast clouds,0.7,108.9,Mess P.Milu
444,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
448,Kollam,IN,78.67,broken clouds,8.8833,76.6,Nani Hotels and Resorts
452,Anloga,GH,82.24,overcast clouds,5.7947,0.8973,Pin Drop Hotel
453,Santarem,BR,78.93,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
457,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
458,Port Moresby,PG,77.94,broken clouds,-9.4431,147.1797,Lamana Hotel
462,Matay,EG,76.62,clear sky,28.419,30.7792,Nag Aespen
463,Tabou,CI,80.08,light rain,4.423,-7.3528,hotêl doufoulougou
466,Pagudpud,PH,82.36,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
467,Santa Rosa,PH,88.09,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
468,Mae Sai,TH,76.32,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
470,Akdepe,TM,77.09,clear sky,42.0551,59.3788,Мой дом
471,Uong Bi,VN,84.18,broken clouds,21.0333,106.7833,khach san Trung lien
472,Espanola,US,83.59,broken clouds,35.9911,-106.0806,Santa Claran Hotel
475,Kalmunai,LK,80.26,overcast clouds,7.4167,81.8167,VS Villa
479,Nortelandia,BR,76.46,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
481,San Andres,CO,81.46,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
489,Tangi,PK,82.09,scattered clouds,34.3006,71.6536,White light hair dresser tangi sudiar khan
491,Golden,US,80.31,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
493,Baherden,TM,82.67,clear sky,38.4362,57.4316,
495,Nanakuli,US,85.37,clear sky,21.3906,-158.1547,Camp Pālehua
496,Cukai,MY,77.14,few clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
497,Abu Dhabi,AE,86.02,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
498,Dingle,PH,81.18,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
499,Eydhafushi,MV,83.17,broken clouds,5.1033,73.0708,Soneva Fushi
501,Melchor De Mencos,GT,82.4,scattered clouds,17.0686,-89.1522,Xultun Farm
502,Ha Noi,VN,82.4,broken clouds,21.0245,105.8412,Sofitel Legend Metropole Hanoi
503,Mirabad,AF,83.98,clear sky,30.4362,61.8383,
509,Mankono,CI,78.49,overcast clouds,8.0586,-6.1897,Hotel Cajoux
513,Beyneu,KZ,79.5,few clouds,45.3167,55.2,NUR
514,Kulhudhuffushi,MV,83.8,few clouds,6.6221,73.07,Haajy Guest House 1
516,Road Town,VG,80.64,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
517,Agadez,NE,88.03,overcast clouds,19.75,10.25,
